Creole,English
allyuh,everybody
chupid,stupid
dotish,stupid
chupidee,stupid
bhaigan,eggplant
fone,phone
tick,thick
wais,what is
crapo,Frog
trinbago,Trinidad and Tobago
dias,that is
lix,beating
ent,Is that not so?
fed up,tired
sum,some
presha,pressure
ahse,ass
arse,ass
wajang,ghetto
tief,thief
hush,quiet
wat,what
oi,Hello
d,the
whey,where
cut eye,side-eye
mehson,my son
cuttail,punishment
bly,favor
ketch,catch
ise,I am
bolface,ignorant
bacchanal,confusion
liming,hanging out
sumn,something
ting,thing
tanty,aunt
tantie,aunty
gyul,girl
gyal,girl
wifey,wife
dey,they
Yo,Hi
Yoo,Hi
Yooo,Hi
dis,this
wah,want
meh,me
waiz,what is
moda,mother
modda,mother
muda,mother
mudda,mother
fadda,father
fada,father
faddah,father
brodda,brother
broda,brother
dougla,mixed 
backchat,talks
boi,boy
yuh,you
tho,though
Ah,I
doh,don't
ah,I
eh,ain't
cah,can not
fuh,for
dat,that
waz,was
dah,that
nah,no
de,the
rel,very
mi,my
yh,yes
Eyyy,Hey
Eyy,Hey
Ey,Hey
Oooo,Hi
Oo,Hi
cud,could
g,friend
dawg,friend
iz,is
weh,where
y,why
shud,should
shudda,should of
cudda,could of
cuda,could of
bai,boy
aye,hey
hv,have
orhor,alright
wen,when
di,the
alyuh,everyone
bout,about
mins,minutes
hrs,hours
hr,hour
dem,them
gud,good
yunno,you know
Ik,I know
ik,I know
doe,don't
gosh,god
hardlucks,sorry
daz,that's
issa,is a
Jusso,just so
ite,alright
aite,alright
rn,right now
smallie,girl
lova,lover
laterz,later
buh,but
lawd,lord
gawd,god
fren,friend
oh gosh,oh my god
lol,haha
Idk,I don't know
prolly,probably
tryna,try to
sis,sister
sista,sister
sistas,sisters
cuz,cause
inno,you know
enno,you know
horning,cheating on
da,that
inna,in a
wok,work
wuk,work
sen,send
cyah,can't
sickenin,annoying
bcuz,because
bcus,because
cus,cause
baigan,eggplant
manicou,opossum
hoss,friend
weys,wow
bess,sexy
ah lime,a get together
ey,hey
wam,what happen
wudda,would of
wuda,would of
hadda,had to
hada,had to
wud,would
dese,these
tuh,to
den,then
lemme,let me
enuff,enough
enuf,enough
lewwe,let we
bouf,scold
wit,with
wid,with
mih,my
mihself,myself
Imma,I am a
muh,my
skool,school
maco,eavesdrop
macoing,eavesdropping
awa,or what
bambam,buttocks
blasted,damn
breds,brethren
bredda,brother
dutty,dirty
duttyness,dirtyness
nuttin,nothing
neva,never
snat,snot
snatty,snotty
tambran,tamarind
wham,what happen
wuddy,what the
widdi,what the
zaboca,avocado
magga,very skinny
gimme,give me
boof,scold
chook,pierce
srs,serious
wey,where
weyss,wow
yeah,yes
bwoy,boy
deh,there
daht,that
topdawg,friend
top dawg,friend
hld,hold
tnx,thanks
dont,don't
wont,won't
trini,Trinidadian
vex,angry
diaz,that is
gih,give
leh,let
fraid,afraid
metsin,medicine
medsin,medicine
lil,little
geh,get
chirren,children
chiren,children
meen,I ain't
meeno,I do not know
dred,serious
btw,by the way
whuddy,what the
ova,over
cya,cannot
hornerman,lover
fella,guy
fellas,guys
fellaz,guys
tmr,tomorrow
lmao,haha
thy,that is
padna,friend
rhel,really
aluh,everyone
setta,set of
nutten,nothing
wuking,working
kixy,funny
woking,working
kixxy,funny
bday,birthday
luv,love
Oh geed,That is disgusting
ah wah,I want
latas dey,Goodbye
lata dey,Goodbye
Wah foolishness is this,that was foolish
My g,my friend
rhell bad,really cool
rel bad,really cool
lime,hang out
gyalang,girlfriend
wassy,mischievous
parang,Christmas music
fete,party
mash up,destroy
palance,dance
tabanca,heartbreak
vaps,gossip
fuh true,really
hot foot,leave quickly
macocious,curious
whining,dancing provocatively
doh stick,don't hesitate
sweat,try hard
bake and shark,Fry bake and shark 
i feeling for a doubles,I want to eat doubles
Ting, Thing
Tanty, Aunty
Tantie, Aunty
Gyul, Girl
Wifey, Wife
Dey, They
Yo, Hi
Dis, This
Wah, Want
Meh, Me
Waiz, What is
Moda, Mother
Modda, Mother
Muda, Mother
Mudda, Mother
Fadda, Father
Fada, Father
Faddah, Father
Brodda, Brother
Broda, Brother
Dougla, Mixed 
Backchat, Talks
Boi, Boy
Yuh, You
Tho, Though
Ah, I
Doh, Do not
Eh, Ain't
Cah, Cannot
Fuh, For
Dat, That
Waz, Was
Dah, That
Nah, No
De, The
Scene, Weather
Rel, Very
Mi, My
Eyyy, Hey
Oooo, Hi
Cud, Could
Wais, What is
Meh, My
Weh, Where
Y, Why
Wat, What
Wa, What
Wen, When
Di, The
Shud, Should
Cudda, Could of
Cuda, Could of
Bai, Boy
Aye, Hey
Orhor, Alright
Alyuh, Everyone
Gyal, Girl
Bout, About
Mins, Minutes
Hrs, Hours
Hr, Hour
Dem, Them
Gud, Good
Yunno, You know
Ik, I know
Doh, Don't
doh, Don't
Gosh, God
Hardlucks, Sorry
Daz, That is
Issa, It's a
Jusso, Just so
Ite, Alright
Aite, Alright
Rn, Right now
Smallie, Young girl
Lova, Lover
Laterz dey, Goodbye
Buh, But
Lawd, Lord
Gawd, God
Fren, Friend
Oh gosh, Oh my god
Lol, Haha
Idk, I don't know
Prolly, Probably
Tryna, Trying to
Sis, Sister
Sista, Sister
Sistas, Sisters
Cuz, Cause
Inno, You know
Enno, You know
Horning, Cheating on
Da, That
Inna, In a
Wok, Work
Wuk, Work
Sen, Send
Cyah, Can't
Sickenin, Annoying
Bcuz, Because
Bcus, Because
Cus, Cause
Baigan, Eggplant
Manicou, Opossum
Hoss, Friend
Weys, Wow
Bess, Sexy
Ah lime, A get together
Ey, Hey
Wam, What happen
Wudda, Would of
Wuda, Would of
Hadda, Had to
Hada, Had to
Wud, Would
Dese, These
Tuh, To
Den, Then
Lemme, Let me
Enuff, Enough
Enuf, Enough
Lewwe, Let we
Bouf, Scold
Wit, With
Wid, With
Mih, My
Mihself, Myself
Imma, I am a
Muh, My
Skool, School
Maco, Eavesdrop
Macoing, Eavesdropping
Awa, Or what
Bambam, Buttocks
Blasted, Damn
Breds, Brethren
Bredda, Brother
Dutty, Dirty
Duttyness, Dirtyness
Nuttin, Nothing
Neva, Never
Snat, Snot
Snatty, Snotty
Tambran, Tamarind
Wham, What happen
Wuddy, What the
Widdi, What the
Zaboca, Avocado
Magga, Very skinny
Gimme, Give me
boof, Scold
Chook, Pierce
Sumn, Something
Srs, Serious
Wey, Where
Weyss, Wow
Yeah, Yes
Bwoy, Boy
Deh, There
dat, That
Topdawg, Friend
Top dawg, Friend
Hld, Hold
Tnx, Thanks
Dont, Don't
Wont, Won't
Trini, Trinidadian
Wajang, Ghetto
Vex, Angry
Dais, That is
gih, Give 
Leh, Let
Fraid, Afraid
Metsin, Medicine
Medsin, Medicine
Lil, Little
Geh, Get
Chirren, Children
Chiren, Children
Meen, I ain't
Meeno, I don’t know
Dred, Serious
Btw, By the way
Whuddy, What the
Ova, Over
Cya, Cannot
Hornerman, Lover
Fella, Guy
Fellas, Guys
Fellaz, Guys
Tmr, Tomorrow
Lmao, Haha
Thy, That is
Padna, Friend
Rhel, Really
Aluh, Everyone
Setta, Set of
Awah, Or what
Owa, Or what
Owah, Or what
Nun, Nothing
Jokey, Funny
Wuking, Working
Kixy, Funny
Woking, Working
Kixxy, Funny
Bday, Birthday
Luv, Love
nah bai,no boy
nah boi,no boy
Latas ,Later
inna, in a
wuk,work  
lime,hangout
hadda, had to
zaboca,avacado
manicou,opposum
trini,trinidadian
meen, I ain't
meeno, I ain't know
awah,or what
owa,or what
owah,or what
jokey,funny
Tabanca, heartbreak
allyuh,Everybody
preshah,pressure
wajang,roudy
boldface, ignorant
bolface, ignorant
bacchanal,confusion 
liming, hanging out
hambug,pester
tanty,aunty
brudda,brother
dougla,mixed race person
doh, do not
'ah','i'
cah, cannot
dat, that
waz, was
dah, that
nah, no
de, the
rel, very
mi, my
waiz,what
ah, I
Yoo, Hi
shudda, should of
cudda, could of
cuda, could of
di, the
daz,that is
jusso,just so
#n,and
dawg, friend
topdawg, friend
Tabanca, still holding feelings
chupid, stupid
dotish, stupid
chupidee, stupid
crapo, Frog
trinbago, Trinidad and Tobago
ent, Is that not so?
preshah, pressure
presha, pressure
ahse, ass
oi, Hello
hush, quiet
gyul, girl
gyal, girl
Yooo, Hi
wah, want
meh, me
wais, what is
faddah, father
brodda, brother
broda, brother
dougla, mixed
yuh, you
ah,i
scene,weather
meh,my
wa,what
wam,What happen?
Tabanca,heartbreak
Steups, I'm annoyed
Lime, Hang out
lix ,Beating
Doubles,Doubles
Bacchanal,Confusion
Vex,angry
Breds,Friend
Kixy, Funny 
Macocious, Gossipy 
D'Vice, Device
Smallie,Young girl
Kicksin', Joking 
Dougla, Mixed
Doe, Don't
Wam, What happen?
Wham, What happen?
Magga,Skinny
Boof, Scold
Daht, That
Diaz, That is
Gih, Give
Meeno, I ain't know
Nutten, Nothing
We, We
Deh, They
Irie, Good
Rel, Really
Vybz,Vibes
Lime, Hangout
Sweet, Enjoyable
Bacchanal, Chaos
Fete, Party
Lick, Hit
Wining, Dancing provacatively
Wha, What
Mas, Masquerade
Bacchanalist,Outgoing
Jammin', Hanging out
Bredren, Friend
Soca,Soca
Calypso,Calypso
